idpm,latitud,longitud,nombre_via,ih,temperatura,velocidad_viento,precipitacion,humedad,PM25,CO,NO,NO2
2242,39.453598861714838,-0.370320383105823,"Avinguda de la Plata, 12",242,14.0,4,0.0,68,8.541500000000001,0.23320000000000002,19.141800000000003,36.3457
2243,39.454371207473194,-0.368905819623804,"Avinguda de la Plata, 33",227,14.0,4,0.0,68,8.4905,0.23170000000000002,18.406800000000004,35.6602
2244,39.454203406171395,-0.368863891127099,"Avinguda de la Plata, 12",258,14.0,4,0.0,68,8.5959,0.2348,19.925800000000002,37.0769
2245,39.454918783288988,-0.367557649360246,"Avinguda de la Plata, 54",239,14.0,4,0.0,68,8.5313,0.2329,18.994800000000005,36.208600000000004
2246,39.455188129367698,-0.366541662561036,"Avinguda de la Plata, 22",182,14.0,4,0.0,68,8.3375,0.2272,16.201800000000006,33.6037
2251,39.455890380471303,-0.370628677309532,"Avinguda del Doctor Waksman, 39",64,14.0,4,0.0,68,7.9363,0.2154,10.419800000000002,28.211100000000002
2252,39.455506151370734,-0.369630816838899,"Avinguda del Doctor Waksman, 50",151,14.0,4,0.0,68,8.2321,0.22410000000000002,14.682800000000004,32.187
2256,39.454869849177804,-0.353977803964027,"Avinguda del Professor LÃ³pez PiÃ±ero, 12",368,14.0,4,0.0,68,8.9699,0.24580000000000002,25.315800000000003,42.103899999999996
2257,39.45691526382064,-0.356104976088343,"Avinguda del Professor LÃ³pez PiÃ±ero, 50",307,14.0,4,0.0,68,8.7625,0.2397,22.326800000000006,39.3162
2258,39.457411812628941,-0.357182051202043,"Avinguda del Professor LÃ³pez PiÃ±ero, 50",467,14.0,4,0.0,68,9.3065,0.25570000000000004,30.166800000000002,46.6282
2259,39.457881621460686,-0.364264747982455,"Carrer del General Urrutia, 31",151,14.0,4,0.0,68,8.2321,0.22410000000000002,14.682800000000004,32.187
3401,39.451857552892882,-0.350035536857154,"CV-5000, 6",275,14.0,4,0.0,68,8.6537,0.23650000000000002,20.7588,37.8538
3402,39.451524511277569,-0.35066441655285,"Camino Pou de Aparisi, 25",244,14.0,4,0.0,68,8.5483,0.2334,19.239800000000002,36.4371
3407,39.449308471058025,-0.360870913516501,"Carrer d'Antonio Ferrandis, 10",1071,14.0,4,0.0,68,11.360100000000001,0.3161,59.7628,74.231
3408,39.452246842017246,-0.347772585922225,"Carrer d'Eduardo Primo YÃºfera, 10",110,14.0,4,0.0,68,8.0927,0.22,12.673800000000004,30.3133
3409,39.452170675292486,-0.347884813864195,"Carrer d'Eduardo Primo YÃºfera, 10",142,14.0,4,0.0,68,8.2015,0.2232,14.241800000000003,31.7757
3411,39.454324385188976,-0.35059479072226,"Pont l'Assut de l'Or, 10",787,14.0,4,0.0,68,10.394499999999999,0.2877,45.8468,61.2522
3501,39.468306907839093,-0.406509823826897,"Avinguda de les Tres Creus, 2",1026,14.0,4,0.0,68,11.2071,0.3116,57.5578,72.1745
3502,39.468618792405053,-0.406291774772106,"Avinguda de les Tres Creus, 2",14,14.0,4,0.0,68,7.7663,0.2104,7.969800000000003,25.9261
3503,39.467047071908425,-0.40642610860459,"Avinguda de les Tres Creus, 8",1016,14.0,4,0.0,68,11.1731,0.3106,57.067800000000005,71.7175
3504,39.467097657370466,-0.40631957637656,"Avinguda de les Tres Creus, 8",10,14.0,4,0.0,68,7.7527,0.21000000000000002,7.773800000000001,25.7433
3505,39.464843122752441,-0.406168235627213,"Avinguda de les Tres Creus, 26",1020,14.0,4,0.0,68,11.1867,0.311,57.2638,71.9003
3506,39.464933904191746,-0.407556704076902,"Carrer de l'Havana, 5",17,14.0,4,0.0,68,7.7765,0.2107,8.116800000000001,26.063200000000002
3507,39.462724751256644,-0.405540445006343,"Avenida Tres Cruces, 18",814,14.0,4,0.0,68,10.4863,0.2904,47.16980000000001,62.48609999999999
3509,39.460380752633363,-0.404105999406314,"Avinguda de les Tres Creus, 79",789,14.0,4,0.0,68,10.4013,0.2879,45.9448,61.343599999999995
4502,39.452419108406119,-0.336796974096031,"Carrer de les Moreres, 605",198,14.0,4,0.0,68,8.3919,0.2288,16.985800000000005,34.3349
4503,39.452058199162629,-0.337752480098394,"Carrer de les Moreres, 14",229,14.0,4,0.0,68,8.497300000000001,0.2319,18.504800000000003,35.751599999999996
4504,39.451348496839927,-0.340501376145901,"Carrer de les Moreres, 5",197,14.0,4,0.0,68,8.3885,0.22870000000000001,16.936800000000005,34.2892
4505,39.450748140540554,-0.340729606286326,"Carrer de Les Barraques del Figuero, 136",97,14.0,4,0.0,68,8.0485,0.2187,12.036800000000003,29.7192
4506,39.451587358901087,-0.341066148380136,"CamÃ¬ de les Moreres, 136",136,14.0,4,0.0,68,8.1811,0.22260000000000002,13.947800000000004,31.5015
4507,39.449703320736148,-0.336159913719028,"Carrer de Les Barraques del Figuero, 136",59,14.0,4,0.0,68,7.9193,0.2149,10.174800000000001,27.9826
4508,39.451112877039975,-0.335285117021495,"Carrer Josep Soler Carnicer, 25",24,14.0,4,0.0,68,7.8003,0.2114,8.459800000000005,26.3831
4509,39.450254358121818,-0.335310579805263,"Camino Canal, 3D",110,14.0,4,0.0,68,8.0927,0.22,12.673800000000004,30.3133
4510,39.45079992205698,-0.340952821420626,"Carrer dels Llauradors, 13",10,14.0,4,0.0,68,7.7527,0.21000000000000002,7.773800000000001,25.7433
5501,39.43611894282428,-0.397389366272049,"Carretera d'Alba, 60",45,14.0,4,0.0,68,7.8717,0.21350000000000002,9.488800000000001,27.3428
5502,39.436132939142723,-0.397170337889973,"Carretera d'Alba, 60",31,14.0,4,0.0,68,7.8241000000000005,0.2121,8.802800000000001,26.703000000000003
