id punto de medida,angulo,ptos_gps,nombre_via,tipo
2719,221,"39.4834016678,-0.348824712533","Avinguda de Catalunya, 44-46",0
2720,161,"39.4849793763,-0.362692310738","Carrer del Doctor Vicent Zaragoza, 17",0
2721,267,"39.484200241,-0.360894695731","Carrer de Cuenca Tramoyeres, 16",0
2722,341,"39.4842936595,-0.360738713903","Carrer del Doctor Vicent Zaragoza, 34-38",0
101,34,"39.4705640106,-0.373859802954","Carrer del Pintor Sorolla, 1",0
113,2,"39.4691538623,-0.373639680474","Carrer de Roger de LlÃ²ria, 19",0
327,117,"39.4693331504,-0.36430797545","PlaÃ§a d'America, 1",0
1224,247,"39.4937100375,-0.373072126617","Avinguda de la ConstituciÃ³, 163-165",0
2522,194,"39.4755912098,-0.384935327986","Carrer de Quart, 65",0
2524,76,"39.4784558867,-0.383666007656","Carrer de Guillem de Castro, 169",0
2525,35,"39.4796696505,-0.384361900146","Paseo de la Pechina, 2",0
2526,25,"39.480671147,-0.382472203682","Carrer de Guillem de Castro, 138",0
2527,97,"39.4815149272,-0.380241450251","Pont de Sant Josep, 138",0
2528,349,"39.4811545018,-0.380005619656","PlaÃ§a del Portal Nou, 6",0
3813,211,"39.4923740149,-0.401437250447","Carrer de la Canal de NavarrÃ©s, 6",0
3814,31,"39.4927689868,-0.400483474841","Carrer de l'Horta Sud, 312",0
328,30,"39.4633001769,-0.377505633467","Gran VÃ­a de RamÃ³n y Cajal, 312",0
332,210,"39.4633375428,-0.377604925523","Gran VÃ­a de RamÃ³n y Cajal, 312",0
429,346,"39.4622999823,-0.361620909418","Avinguda del Regne de ValÃ¨ncia, 94",0
429,346,"39.4622999823,-0.361620909418","Avinguda del Regne de ValÃ¨ncia, 94",0
430,166,"39.4618520296,-0.359007148497","Pont del Regne, 13",0
431,346,"39.4617902685,-0.359241191889","Pont del Regne, 13",0
434,31,"39.4628352915,-0.361636305098","Avinguda de Peris i Valero, 194",0
434,31,"39.4628352915,-0.361636305098","Avinguda de Peris i Valero, 194",0
502,120,"39.4556492715,-0.374730305641","Plaza Manuel Sanchis Guarner, 11",0
503,167,"39.4563319526,-0.372827906918","Avinguda del Doctor Waksman, 23D",0
901,187,"39.4683046304,-0.395200701449","Carrer de Totana, 20",0
902,349,"39.468790773,-0.399975957276","Avinguda del Cid, 76",0
903,169,"39.4691235916,-0.401773121708","Carrer de Josep Maestre, 76",0
904,349,"39.4695967757,-0.404835889525","Avinguda del Cid, 15",0
905,7,"39.4696525428,-0.411819367012","Avinguda del Cid, 152",0
906,187,"39.4695743552,-0.413601061441","Avinguda del Cid, 156",0
907,7,"39.4694192505,-0.413894985618","Avinguda del Cid, 1870",0
908,6,"39.4693922166,-0.416040786566","Avinguda del Cid, 105",0
909,187,"39.4696558233,-0.413607586019","Avinguda del Cid, 156",0
